transcript_id	gene_id	gene_name
C1_00850W_A-T	C1_00850W_A	IHD2
C1_01340C_A-T	C1_01340C_A	C1_01340C_A
C1_02940C_A-T	C1_02940C_A	C1_02940C_A
C1_06050C_A-T	C1_06050C_A	C1_06050C_A
C1_02860C_A-T	C1_02860C_A	YKT6
C1_07250C_A-T	C1_07250C_A	ALG9
C1_00030C_A-T	C1_00030C_A	C1_00030C_A
C1_12140W_A-T	C1_12140W_A	C1_12140W_A
C1_10550C_A-T	C1_10550C_A	GCA2
C1_10780C_A-T	C1_10780C_A	HNT1
C1_06410W_A-T	C1_06410W_A	C1_06410W_A
C1_14010W_A-T	C1_14010W_A	CSK1
C1_02680C_A-T	C1_02680C_A	MNN44
C1_03760C_A-T	C1_03760C_A	STR2
C1_02200C_A-T	C1_02200C_A	ATG5
C1_05190C_A-T	C1_05190C_A	C1_05190C_A
C1_12580W_A-T	C1_12580W_A	C1_12580W_A
C1_12370W_A-T	C1_12370W_A	C1_12370W_A
C1_12730W_A-T	C1_12730W_A	RVS162
C1_01890C_A-T	C1_01890C_A	C1_01890C_A
C1_00350C_A-T	C1_00350C_A	HMX1
C1_14270W_A-T	C1_14270W_A	BNA7
C1_03530W_A-T	C1_03530W_A	MED17
C1_05880W_A-T	C1_05880W_A	PRN4
C1_02290C_A-T	C1_02290C_A	C1_02290C_A
C1_11880W_A-T	C1_11880W_A	MRPL51
C1_09220W_A-T	C1_09220W_A	C1_09220W_A
C1_00110W_A-T	C1_00110W_A	CCT8
C1_04850C_A-T	C1_04850C_A	C1_04850C_A
C1_12650C_A-T	C1_12650C_A	C1_12650C_A
C1_12850W_A-T	C1_12850W_A	BLP1
C1_06280C_A-T	C1_06280C_A	UME6
C1_05830W_A-T	C1_05830W_A	C1_05830W_A
C1_12420C_A-T	C1_12420C_A	C1_12420C_A
C1_01920W_A-T	C1_01920W_A	ROA1
C1_02000W_A-T	C1_02000W_A	C1_02000W_A
C1_00450C_A-T	C1_00450C_A	C1_00450C_A
C1_11230W_A-T	C1_11230W_A	FGR39
C1_07330W_A-T	C1_07330W_A	RME1
C1_00420W_A-T	C1_00420W_A	C1_00420W_A
C1_06180W_A-T	C1_06180W_A	TLO34
C1_13330C_A-T	C1_13330C_A	C1_13330C_A
C1_04430C_A-T	C1_04430C_A	C1_04430C_A
C1_07080W_A-T	C1_07080W_A	C1_07080W_A
C1_12300W_A-T	C1_12300W_A	C1_12300W_A
C1_00920W_A-T	C1_00920W_A	C1_00920W_A
C1_00910W_A-T	C1_00910W_A	C1_00910W_A
C1_14550C_A-T	C1_14550C_A	C1_14550C_A
C1_09970C_A-T	C1_09970C_A	PDC2
C1_01280C_A-T	C1_01280C_A	MED22
C1_09150W_A-T	C1_09150W_A	AOX2
C1_11290W_A-T	C1_11290W_A	C1_11290W_A
C1_10850W_A-T	C1_10850W_A	C1_10850W_A
C1_11510C_A-T	C1_11510C_A	C1_11510C_A
C1_01680C_A-T	C1_01680C_A	FYV4
C1_05740C_A-T	C1_05740C_A	C1_05740C_A
C1_04370C_A-T	C1_04370C_A	C1_04370C_A
C1_12870C_A-T	C1_12870C_A	C1_12870C_A
C1_11260C_A-T	C1_11260C_A	C1_11260C_A
C1_13630W_A-T	C1_13630W_A	CYB2
C1_12000C_A-T	C1_12000C_A	C1_12000C_A
C1_03400W_A-T	C1_03400W_A	C1_03400W_A
C1_04070C_A-T	C1_04070C_A	BET4
C1_01730W_A-T	C1_01730W_A	tA(AGC)3
C1_13830C_A-T	C1_13830C_A	PDX1
C1_00540C_A-T	C1_00540C_A	C1_00540C_A
